MUNICIPIO,CODIGO_IBGE,Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],POPULACAO_2024,Escolarização  6 a 14 anos- % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2022],Total de despesas brutas empenhadas - R$ [2022],PIB per capita - R$ [2021],UTI_TOTAL_EXIST,UTI_TOTAL_SUS,LEITOS_UTI_POR_10000_HAB
ABAIRA,2900108,abairense,WELLINGTON BARBOSA SILVA,538.677,7301,13.55,7452,97.2,0.603,18.52,32237641.59,35111367.37,8086.04,0,0,0.0
ABARE,2900207,abareense,EMANOEL MESCIAS MENEZES DE ANDRADE,1604.923,17639,10.99,18240,96.5,0.575,7.17,87563602.75,79977884.76,10127.1,0,0,0.0
ACAJUTIBA,2900306,acajutibense,JADIEL SOUZA JESUS,181.475,13795,76.02,14215,98,0.582,12.82,83405745.46,79390929.67,9499.76,0,0,0.0
ADUSTINA,2900355,adustinense,JOTA JUNIOR GONÇALVES,629.1,14201,22.57,14554,98.1,0.546,20.55,78434504.29,73643969.42,13986.28,0,0,0.0
AGUA FRIA,2900405,água-friense,RENAN ARAUJO BARROS,742.775,14497,19.52,14871,97,0.55,13.79,73397340.01,88594859.92,9269.33,0,0,0.0
ERICO CARDOSO,2900504,érico-cardosense,ERALDO FÉLIX DA SILVA,735.249,10604,14.42,10948,98.8,0.584,16.95,53133336.7,50328616.35,7425.41,0,0,0.0
AIQUARA,2900603,aiquarense,VALERIA RIBEIRO SANTOS,167.877,4447,26.49,4586,98.4,0.583,,45623931.03,43534669.81,12244.83,0,0,0.0
ALAGOINHAS,2900702,alagoinhense,GUSTAVO AUGUSTO DE SOUZA CARMO,707.836,151055,213.4,160662,97.4,0.683,12.79,664260801.24,631717683.9,29621.32,96,60,5.98
ALCOBACA,2900801,alcobacense,GIVALDO MUNIZ,1477.929,24530,16.6,25494,96.5,0.608,15.38,135266438.23,142880890,15437.27,0,0,0.0
ALMADINA,2900900,almadinense,MARCOS MARCIEL PINHEIRO DE JESUS,245.236,5218,21.28,5327,95.3,0.563,23.26,32229647.81,29587006.69,11924.08,0,0,0.0
AMARGOSA,2901007,amargosense,GETÚLIO ALMEIDA SAMPAIO,431.655,36521,84.61,38478,96.8,0.625,16.13,190276474.67,168053576.8,12327.08,0,0,0.0
AMELIA RODRIGUES,2901106,ameliense,JOÃO MANOEL BAHIA MENEZES,166.872,24138,144.65,24848,99.2,0.666,6.1,108377590.27,102966520.8,17505.45,0,0,0.0
AMERICA DOURADA,2901155,américo-douradense,JOELSON CARDOSO DO ROSARIO,822.373,15137,18.41,15583,96.6,0.561,,79102581.84,78796917.45,10440.54,0,0,0.0
ANAGE,2901205,anageense,ROGERIO BONFIM SOARES,1899.683,25438,13.39,26715,96,0.54,15.54,86891843.4,88578085.1,10592.91,0,0,0.0
ANDARAI,2901304,andaraiense,WILSON PAES CARDOSO,1589.786,13080,8.22,13531,97.8,0.555,6.58,74092334.41,69360658.94,10254.35,0,0,0.0
ANDORINHA,2901353,andorinhense,ADILBERTO EVANGELISTA DE SOUZA,1362.386,15012,11.02,15485,98,0.588,11.98,108057843.61,101142338.3,15500.25,0,0,0.0
ANGICAL,2901403,angicalense,MONICA MARIA RODRIGUES DAS CHAGAS DIAS,1530.645,13732,8.97,14178,96.9,0.625,37.23,66509756.58,61752720.45,13699.3,0,0,0.0
ANGUERA,2901502,anguerense,MAURO SELMO OLIVEIRA VIEIRA,187.84,11031,58.73,11456,98.2,0.589,,58873240.51,53339705.23,6927.47,0,0,0.0
ANTAS,2901601,antense,ESSIONEIDE PIMENTEL DA SILVA MATOS,326.36,14206,44.43,15061,94.3,0.592,7.3,96411774.67,86953768.11,8179.38,0,0,0.0
ANTONIO CARDOSO,2901700,cardosense,JOCIVALDO BISPO DA CONCEIÇÃO DOS ANJOS,293.53,11146,37.97,11501,95.8,0.561,17.86,54328608.34,51157756.39,10644.2,0,0,0.0
ANTONIO GONCALVES,2901809,antônio-gonçalvense,DJALMA DE FREITAS CARDOSO NETO,345.284,10862,31.46,11236,98.4,0.598,20.83,60949081.57,53828781.31,6917.74,0,0,0.0
APORA,2901908,aporense,CARINE DANTAS DE MENEZES,479.262,15922,33.22,16379,97.6,0.548,11.3,79635652.5,77698758,8332.08,0,0,0.0
APUAREMA,2901957,apuaremense,ROBERTO SANTOS AMORIM,150.83,6913,45.83,7114,95.9,0.552,27.78,37849353.32,38785003.17,10214.51,0,0,0.0
ARACATU,2902005,aracatuense,BRAULINA LIMA SILVA,1489.803,13936,9.35,14422,97.7,0.581,17.54,70530574.93,66381596.36,11245.32,0,0,0.0
ARACAS,2902054,araçaense,AGAMENON OLIVEIRA COELHO,474.577,11557,24.35,11946,98.1,0.57,34.48,80586573.78,83479592.61,24447.56,0,0,0.0
ARACI,2902104,araciense,MARIA BETIVANIA LIMA DA SILVA,1496.245,48294,32.28,50336,97.4,0.534,15.53,253502295.71,252315817.7,8950.31,0,0,0.0
ARAMARI,2902203,aramariense,ANTONIO LUIZ CARDOSO DANTAS,368.947,9833,26.65,10122,96.3,0.588,11.36,51526836.06,46634677.09,9008.7,0,0,0.0
ARATACA,2902252,arataquense,FERNANDO MANSUR GONZAGA,435.962,10191,23.38,10463,95.6,0.559,12.99,61145526.8,60057926.34,9308.59,0,0,0.0
ARATUIPE,2902302,aratuipense,ANTONIO MARCOS ARAUJO DE SOUZA,174.012,8677,49.86,8981,98.4,0.575,9.01,47294402.32,42888776.84,9038.92,0,0,0.0
AURELINO LEAL,2902401,aurelinense,RODRIGO CALAZANS DE ANDRADE,445.394,11179,25.1,11409,95.5,0.568,56.5,70869725.32,71726699.35,12365.87,0,0,0.0
BAIANOPOLIS,2902500,baianopolense,WEUBE FEBRONIO DOS SANTOS,3321.755,13614,4.1,14110,98.7,0.589,12.66,79980048.36,73582237.51,18872.77,0,0,0.0
BAIXA GRANDE,2902609,baixa-grandense,ADROALDO DOS SANTOS RIBEIRO,967.514,18220,18.83,18680,97.2,0.585,13.7,82668628.92,78137190.3,9527.52,0,0,0.0
BANZAE,2902658,banzaêense,PATRÍCIA NASCIMENTO ALMEIDA,409.507,11958,29.2,12309,98.1,0.579,8.4,93084901.05,83179972.5,8572.74,0,0,0.0
BARRA,2902708,barrense,ROMEU BATISTA PINTO JUNIOR,11428.112,51092,4.47,53528,97,0.557,23.31,190704876.3,198848474.7,7941.89,30,30,5.6
BARRA DA ESTIVA,2902807,barrestivense,UILSON ROBSON SILVA ALVES,1657.413,26026,15.7,27582,96.8,0.575,5.57,102037728.35,93872997.06,18698.56,0,0,0.0
BARRA DO CHOCA,2902906,barra-chocense,OBERDAM ROCHA DIAS,765.936,36539,47.71,38481,96.9,0.551,20.18,163664432.65,149980554.6,18602.26,0,0,0.0
BARRA DO MENDES,2903003,barra-mendense,MANOEL GABRIEL DOS SANTOS,1436.299,13836,9.63,14345,97.5,0.63,5.88,57221921.89,60683464.74,8829.23,0,0,0.0
BARRA DO ROCHA,2903102,barra-rochense,JOSE LUIZ FRANCO RAMOS COSTA,214.411,5775,26.93,5920,95.7,0.577,,52572707.45,50367801.85,14125.28,0,0,0.0
