COMP,REGIAO,UF,MUNICIPIO,MOTIVO_DESABILITACAO,CNES,NOME_ESTABELECIMENTO,RAZAO_SOCIAL,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NO_EMAIL,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS,latitude,longitude
202501,NORDESTE,BA,SALVADOR,,3778,HOSPITAL ESTADUAL DA MULHER,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,RUA BARAO DE COTEGIPE,1153,,ROMA,40411900,(7139950680,faturamentohm.iff@gmail.com,163,163,10,10,10,10,0,0,0,0,0,0,0,0,-12.9373315901153,-38.5067474842072
202501,NORDESTE,BA,SALVADOR,,3786,HOSPITAL ARISTIDES MALTEZ,LIGA BAHIANA CONTRA O CANCER,D,7,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,AV D JOAO VI,332,,BROTAS,40285001,(71) 3357-6800,diretoria@aristidesmaltez.org.br,255,255,20,20,20,20,0,0,0,0,0,0,0,0,-12.9861396,-38.4923837
202501,NORDESTE,BA,SALVADOR,,3808,HOSPITAL SAO RAFAEL,HOSPITAL SAO RAFAEL S A,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,SAO RAFAEL,2152,1 SUBSOLO,SAO MARCOS,41253190,71 32816151,soservicosdesaude@gmail.com,290,19,19,19,13,13,6,6,0,0,0,0,0,0,-12.9349054,-38.4253685
202501,NORDESTE,BA,SALVADOR,,3816,HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS,UNIVERSIDADE FEDERAL DA BAHIA,D,5,HOSPITAL GERAL,1104,HOSPITAL_PÚBLICO,AUGUSTO VIANA,S/N,,CANELA,40110060,,,385,385,30,30,20,20,10,10,0,0,0,0,0,0,-12.9931237862042,-38.520220220089
202501,NORDESTE,BA,SALVADOR,,3832,HOSPITAL SANTA IZABEL,SANTA CASA DE MISERICORDIA DA BAHIA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,PRACA CONSELHEIRO ALMEIDA COUTO,500,,NAZARE,40050410,(71) 2203-8444,hsi@santacasa.org.br,460,154,126,24,101,17,23,5,2,2,0,0,0,0,-12.97298955,-38.50252668
202501,NORDESTE,BA,SALVADOR,,3859,HOSPITAL GERAL ROBERTO SANTOS,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,ESTRADA SABOEIRO,S/N,,SABOEIRO,41180900,(71) 3117-7500,,737,717,137,122,96,81,16,16,25,25,0,0,0,0,-12.972226,-38.501426
202501,NORDESTE,BA,SALVADOR,,3875,HOSPITAL ANA NERY,UNIVERSIDADE FEDERAL DA BAHIA,E,5,HOSPITAL GERAL,1104,HOSPITAL_PÚBLICO,RUA SALDANHA MARINHO,S/N,,CAIXA D AGUA,40320010,(71) 3117-1800,faturamento@han.net.br,259,259,53,53,33,33,8,8,4,4,0,0,8,8,-12.971,-38.511
202501,NORDESTE,BA,SALVADOR,,3980,HOSPITAL ELADIO LASSERRE,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,RUA CORONEL AZEVEDO,S/N,CAJAZEIRAS II,CAJAZEIRAS II,41310295,7133955719,jamile.carvalho@iff-ba.org,144,144,10,10,10,10,0,0,0,0,0,0,0,0,-12.889373521562,-38.4226226806641
202501,NORDESTE,BA,SALVADOR,,4065,HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,PRACA CONSELHEIRO JOAO ALFREDO,S/N,,PAU MIUDO,40320350,(71) 3117-1609,dgheom@gmail.com,216,216,17,17,17,17,0,0,0,0,0,0,0,0,-12.9592160634397,-38.4853649139404
202501,NORDESTE,BA,SALVADOR,,4073,HOSPITAL GERAL ERNESTO SIMOES FILHO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,DO PAU MIUDO,S/N,,PAU MIUDO,40320840,,,184,177,50,50,50,50,0,0,0,0,0,0,0,0,-12.9590069519124,-38.4861642122269
202501,NORDESTE,BA,SALVADOR,,4081,MATERNIDADE MARIA DA CONCEICAO DE JESUS,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,AV AFRANIO PEIXOTO,S/N,,COUTOS,40720690,(71) 3307-8601,mmcj.diretoriageral@saude.ba.gov.br,90,65,10,0,0,0,0,0,10,0,0,0,0,0,-12.9318704,-38.4888507
202501,NORDESTE,BA,SALVADOR,,4251,HOSPITAL PORTUGUES,REAL SOCIEDADE PORTUGUESA DE BENEFICIENCIA,D,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,AV PRINCESA ISABEL,914,,BARRA AVENIDA,40140901,(71) 3203-5555,hospital@hportugues.com.br,345,37,94,9,74,9,0,0,20,0,0,0,0,0,-13.0032128,-38.5312954
202501,NORDESTE,BA,SALVADOR,,4278,HOSPITAL MARTAGAO GESTEIRA,LIGA ALVARO BAHIA CONTRA MORTALIDADE INFANTIL,D,7,HOSPITAL ESPECIALIZADO,3999,HOSPITAL_FILANTRÓPICO,RUA JOSE DUARTE,114,,TORORO,40050050,(71) 3032-3752/3815,hmg@martagaogesteira.org.br,209,209,42,42,2,2,30,30,10,10,0,0,0,0,-12.9821042,-38.508557
202501,NORDESTE,BA,SALVADOR,,4294,HOSPITAL GERAL DO ESTADO,BAHIA SECRETARIA DE SAUDE DO ESTADO,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AV VASCO DA GAMA,S/N,,VASCO DA GAMA,40230900,(71) 31175959,hge.contasmedicas@saude.ba.gov.br,352,344,60,60,48,48,8,8,0,0,4,4,0,0,-12.9962977,-38.4945683
